État physique;Nom du produit (sur packaging);IUPAC - Formule Brute;Quantités en stock;Unité;Étagère;Pictogrammes;Mars 2025;Juillet 2025;Juillet 2026;Besoin URGENT;;;;;;;;;;
SOLIDE;ALUMINIUM POUDRE;;3000;g;6;;3000;;;;;;;;;;;;;
SOLIDE;ALUMINIUM SULFATE;SULFATE D'ALUMINIUM (Al₂(SO₄)₃);1200;g;6;;1200;;;;;;;;;;;;;
SOLIDE;ALUN FER III;;165;g;7;;165;;;;;;;;;;;;;
SOLIDE;AMIDON DE MAÏS;;400;g;7;;400;;;;;;;;;;;;;
SOLIDE;AMIDON SOLUBLE;;200;g;5 LP;;200;;;;;;;;;;;;;
SOLIDE;AMIDON SOLUBLE;;900;g;7;;900;;;;;;;;;;;;;
LIQUIDE;AMMONIAQUE;TRIHYDRURE DE NITROGÈNE (NH₃);7700;mL;2;SGH05 SGH09;7700;;;;;;;;;;;;;
SOLIDE;AMMONIUM CHLORURE;CHLORURE D'AMMONIUM (NH₄Cl);900;g;5 LP;SGH07;900;;;;;;;;;;;;;
SOLIDE;AMMONIUM CHLORURE;CHLORURE D'AMMONIUM (NH₄Cl);980;g;7;SGH07;980;;;;;;;;;;;;;
SOLIDE;AMMONIUM FER II;;300;g;5 LP;NON;300;;;;;;;;;;;;;
SOLIDE;AMMONIUM FER II SULFATE;;50;g;labo;NON;50;;;;;;;;;;;;;
SOLIDE;AMMONIUM MOLYBDATE;;540;g;7;SGH07;540;;;;;;;;;;;;;
SOLIDE;AMMONIUM NITRATE;NITRATE D'AMMONIUM (NH₄NO₃);200;g;7;SGH03 SGH07;200;;;;;;;;;;;;;
SOLIDE;AMMONIUM OXALATE;;300;g;5 LP;NON;300;;;;;;;;;;;;;
SOLIDE;AMMONIUM OXALATE;;1000;g;7;NON;1000;;;;;;;;;;;;;
SOLIDE;AMMONIUM PERODISULFATE;;350;g;7;SGH03 SGH07 SGH08;350;;;;;;;;;;;;;
SOLIDE;AMMONIUM(DI) HYDROGENOPHOSPHATE;;700;g;7;SGH07;700;;;;;;;;;;;;;
SOLIDE;AMONIUM FER SULFATE HEXAHYDRATÉ;;830;g;7;NON;830;;;;;;;;;;;;;
LIQUIDE;ANETHOL;;50;mL;6;NON;50;;;;;;;;;;;;;
LIQUIDE;ANHYDRIDE ACETIQUE;;1900;mL;1;SGH02 SGH05 SGH07;1900;;;;;;;;;;;;;
SOLIDE;ANHYDRIDE PHTALLIQUE;;877;g;4;SGH05 SGH07 SGH08;877;;;;;;;;;;;;;
LIQUIDE;ANILINE;PHÉNYLAMINE;0;mL;;SGH05 SGH06 SGH08 SGH09;;;;;;;;;;;;;;
LIQUIDE;ANISYLE ETHANOATE;;0;mL;;NON;;;;;;;;;;;;;;
SOLIDE;ARGENT NITRATE;NITRATE D'ARGENT (AgNO₃);18;g;5 LP;SGH03 SGH05 SGH09;18;;;;;;;;;;;;;
SOLIDE;ARGENT NITRATE;NITRATE D'ARGENT (AgNO₃);1095;g;6;SGH03 SGH05 SGH09;1095;;;;;;;;;;;;;
SOLIDE;ARGENT SULFATE;;1;g;5 LP;NON;1;;;;;;;;;;;;;
SOLIDE;ARGENT SULFATE;;10;g;6;NON;10;;;;;;;;;;;;;
SOLIDE;ASPIRINE;;35;g;4;SGH07;35;;;;;;;;;;;;;
SOLIDE;AURAMINE;;7;g;6;SGH06 SGH08 SGH09;7;;;;;;;;;;;;;
SOLIDE;BARYUM CHLORURE;CHLORURE DE BARYUM (BaCl₂);3500;g;5 LP;SGH06;3500;;;;;;;;;;;;;
SOLIDE;BARYUM CHLORURE;CHLORURE DE BARYUM (BaCl₂);620;g;7;SGH06;620;;;;;;;;;;;;;
SOLIDE;BARYUM DIPHENYLAMINE;;12;g;7;SGH07;12;;;;;;;;;;;;;
SOLIDE;BARYUM NITRATE;;100;g;5 LP;SGH03 SGH07;100;;;;;;;;;;;;;
SOLIDE;BARYUM NITRATE;;560;g;7;SGH03 SGH07;560;;;;;;;;;;;;;
LIQUIDE;BENZALDEHYDE;ALDÉHYDE BENZOÏQUE;1800;mL;3;SGH07;1800;;;;;;;;;;;;;
SOLIDE;BENZOYLE PEROXYDE;BENZENECARBOPEROXOATE DE BENZOYLE;117;g;4;SGH01 SGH02 SGH06;117;;;;;;;;;;;;;
SOLIDE;BISMUTH AIGUILLES;;90;g;5 LP;SGH02;90;;;;;;;;;;;;;
SOLIDE;BISMUTH AIGUILLES;;20;g;7;SGH02;20;;;;;;;;;;;;;
SOLIDE;BLEU BRILLANT;;20;g;6;NON;20;;;;;;;;;;;;;
LIQUIDE;BLEU BROMOTHYMOL;BLEU DE BROMOTHYMOL;600;mL;5 LP;NON;600;;;;;;;;;;;;;
SOLIDE;BLEU CIEL;;1;g;6;;1;;;;;;;;;;;;;
SOLIDE;BLEU DE BROMOTHYMOL;BLEU DE BROMOTHYMOL;15;g;5 LP;NON;15;;;;;;;;;;;;;
SOLIDE;BLEU DE BROMOTHYMOL;BLEU DE BROMOTHYMOL;1,5;g;6;NON;1,5;;;;;;;;;;;;;
