État physique;Nom du produit (sur packaging);IUPAC - Formule Brute;Quantités en stock;Unité;Étagère;Pictogrammes;Mars 2025;Juillet 2025;Juillet 2026;Besoin URGENT;;;;;;;;;;
LIQUIDE;SODIUM HYDROXYDE;HYDROXYDE DE SODIUM - NAOH;50;mL;5 LP;SGH05 SGH09;50;;;;;;;;;;;;;
SOLIDE;SODIUM HYDROXYDE;HYDROXYDE DE SODIUM - NAOH;3513;g;6;SGH05 SGH09;3513;;;;;;;;;;;;;
LIQUIDE;SODIUM HYDROXYDE;HYDROXYDE DE SODIUM - NAOH;1300;mL;6;SGH05 SGH09;1300;;;;;;;;;;;;;
SOLIDE;SODIUM HYDROXYDE EN ÉCAILLES;HYDROXYDE DE SODIUM - NAOH;1700;g;5 LP;SGH05 SGH09;1700;;;;;;;;;;;;;
SOLIDE;SODIUM HYDROXYDE EN PASTILLES;HYDROXYDE DE SODIUM - NAOH;500;g;5 LP;SGH05 SGH09;500;;;;;;;;;;;;;
SOLIDE;SODIUM LAURYLSULFATE;DODECYL SULFATE DE SODIUM - C12H25SO4NA;20;g;6;SGH02 SGH05 SGH07;20;;;;;;;;;;;;;
SOLIDE;SODIUM NITRATE;NITRATE DE SODIUM - NANO3;200;g;5 LP;SGH03 SGH07;200;;;;;;;;;;;;;
SOLIDE;SODIUM PEROXODISULFATE;DISULFATE DE SODIUM (PEROXYDE) - NA2S2O8;1000;g;6;SGH03 SGH08 SGH07;1000;;;;;;;;;;;;;
SOLIDE;SODIUM SOLIDE;SODIUM - NA;150;g;5 LP;SGH02 SGH05;150;;;;;;;;;;;;;
SOLIDE;SODIUM SULFATE;SULFATE DE SODIUM - NA2SO4;4000;g;5 LP;;4000;;;;;;;;;;;;;
SOLIDE;SODIUM SULFATE;SULFATE DE SODIUM - NA2SO4;200;g;6;;200;;;;;;;;;;;;;
SOLIDE;SODIUM SULFATE ANHYDRE;SULFATE DE SODIUM - NA2SO4;1100;g;6;;1100;;;;;;;;;;;;;
SOLIDE;SODIUM SULFATE DÉCAHYDRATÉ;NA2SO4·10H2O;1000;g;6;;1000;;;;;;;;;;;;;
SOLIDE;SODIUM SULFITE ANHYDRE;SULFITE DE SODIUM ANHYDRE - NA2SO3;500;g;6;;500;;;;;;;;;;;;;
SOLIDE ;SODIUM THIOSULFATE ANHYDRE;THIOSULFATE DE SODIUM ANHYDRE - NA2S2O3;200;g;labo;SGH07;200;;;;;;;;;;;;;
SOLIDE ;SODIUM THIOSULFATE PENTAHYDRATÉ;THIOSULFATE DE SODIUM PENTAHYDRATÉ - NA2S2O3·5H2O;150;g;6;SGH07;150;;;;;;;;;;;;;
SOLIDE;SOLUTION CARBONATÉE À SODIUM HYDROGÉNOCARBONATE;BICARBONATE DE SODIUM - NAHCO3 (SOLUTION);20;g;6;;20;;;;;;;;;;;;;
LIQUIDE;SOLUTION CONCERVATION KCL 3 MOL/L ;CHLORURE DE POTASSIUM - KCL (SOLUTION);0;mL;;;;;;;;;;;;;;;;
SOLIDE;SOUFRE;SOUFRE - S;1000;g;6;SGH07;1000;;;;;;;;;;;;;
SOLIDE;SOUFRE CANONS;SOUFRE - S;70;g;5 LP;SGH07;70;;;;;;;;;;;;;
SOLIDE;SOUFRE EN FLEURS;SOUFRE - S;20;g;5 LP;SGH07;20;;;;;;;;;;;;;
SOLIDE;SULFATE D'AMMONIUM;SULFATE D'AMMONIUM - (NH4)2SO4;200;g;5 LP;;200;;;;;;;;;;;;;
SOLIDE;SULFITE DE SODIUM;SULFITE DE SODIUM - NA2SO3;300;g;5 LP;;300;;;;;;;;;;;;;
LIQUIDE;TAMPON PH 10;-;500;mL;5 LP;;500;;;;;;;;;;;;;
LIQUIDE;TAMPON PH 4;-;1600;mL;5 LP;;1600;;;;;;;;;;;;;
LIQUIDE;TAMPON PH 7;-;1600;mL;5 LP;;1600;;;;;;;;;;;;;
LIQUIDE;TAMPON PH 7 COLORÉ EN VERT;-;1000;mL;5 LP;;1000;;;;;;;;;;;;;
LIQUIDE;TAMPON PH 9;-;1700;mL;5 LP;;1700;;;;;;;;;;;;;
SOLIDE;TAMPON TRI-SACCHAROSE;-;105;g;4;;105;;;;;;;;;;;;;
SOLIDE;TARTRAZINE;;70;g;6;SGH08;70;;;;;;;;;;;;;
LIQUIDE;TERT BUTANOL (ALCOOL TERT-BUTYLIQUE, TERT-BUTANOL);2-MÉTHYLPROPAN-2-OL - C4H10O;1000;mL;3;SGH02 SGH07;1000;;;;;;;;;;;;;
SOLIDE;TEST DE DURETÉ DE L'EAU;-;1;unité;6;;1;;;;;;;;;;;;;
SOLIDE;THIOSULFATE DE SODIUM;THIOSULFATE DE SODIUM - NA2S2O3;20;g;5 LP;SGH07;20;;;;;;;;;;;;;
LIQUIDE;TOLUENE;TOLUÈNE;400;mL;3;SGH02 SGH07 SGH08;400;;;;;;;;;;;;;
LIQUIDE;TOLUIDINE BLUE;-;10;cpt gouttes;labo;;10;;;;;;;;;;;;;
SOLIDE;TOLUIDINE BLUE;-;1;g;6;;1;;;;;;;;;;;;;
SOLIDE;TOURNESOL SOLUBLE;-;30;g;5 LP;;30;;;;;;;;;;;;;
LIQUIDE;TRICHLOROETHYLENE;TRICHLOROÉTHYLÈNE - C2HCL3;0;mL;;SGH07 SGH08;;;;;;;;;;;;;;
LIQUIDE;TRIETHYLAMINE;TRIÉTHYLAMINE - C6H15N;0;mL;;SGH02 SGH05 SGH07;;;;;;;;;;;;;;
SOLIDE;TRI-SODIUM PHOSPHATE;PHOSPHATE DE TRISODIUM, NA3PO4;1100;g;6;SGH07;1100;;;;;;;;;;;;;
SOLIDE;TYMOSULFONE PHTALEINE;2,3-DIHYDROXY-5,8-DIMÉTHYL-9-(2-SULFONATO-3-SULFOPHENYL)-3,3-DIMÉTHYL-3H-XANTHENE-9-CARBOXYLATE, C21H18O8S2;4;g;6;;4;;;;;;;;;;;;;
SOLIDE;URÉE;CARBAMAMIDE, CH4N2O.;172;g;4;;172;;;;;;;;;;;;;
SOLIDE;VANILLINE;4-HYDROXY-3-MÉTHOXYBENZALDÉHYDE, C8H8O3.;60;g;7;SGH07;60;;;;;;;;;;;;;
LIQUIDE;VERT DE BROMOCRESOL;-;5;mL;6;;5;;;;;;;;;;;;;
SOLIDE;VERT DE MÉTHYLE;-;1;g;6;;1;;;;;;;;;;;;;
LIQUIDE;VERT DE MIRANDE;-;250;mL;6;;250;;;;;;;;;;;;;
LIQUIDE;VERT LUMIÈRE;-;1;mL;6;;1;;;;;;;;;;;;;
SOLIDE;VIOLET CRISTALLISE;-;80;g;6;SGH08 SGH05 SGH07 SGH09;80;;;;;;;;;;;;;
LIQUIDE;VIOLET CRISTALLISE;-;70;mL;6;SGH08 SGH05 SGH07 SGH09;70;;;;;;;;;;;;;
SOLIDE;ZINC CHLORURE ;CHLORURE DE ZINC  – ZNCL₂;125;g;6;SGH05 SGH07 SGH09;125;;;;;;;;;;;;;
SOLIDE;ZINC CHLORURE ANHYDRE;CHLORURE DE ZINC ANHYDRE – ZNCL₂;360;g;5 LP;SGH05 SGH07 SGH09;360;;;;;;;;;;;;;
SOLIDE;ZINC CHLORURE ANHYDRE;CHLORURE DE ZINC ANHYDRE – ZNCL₂;250;g;6;SGH05 SGH07 SGH09;250;;;;;;;;;;;;;
SOLIDE;ZINC EN GRENAILLES;-;1500;g;6;SGH02 SGH09;1500;;;;;;;;;;;;;
SOLIDE;ZINC GRENAILLE;-;400;g;5 LP;SGH02 SGH09;400;;;;;;;;;;;;;
SOLIDE;ZINC OXYDE;OXYDE DE ZINC – ZNO;700;g;6;SGH09;700;;;;;;;;;;;;;
SOLIDE;ZINC PUR EN POUDRE;-;200;g;6;SGH02 SGH09;200;;;;;;;;;;;;;
SOLIDE;ZINC SULFATE ANHYDRE;SULFATE DE ZINC ANHYDRE – ZNSO₄;125;g;5 LP;SGH05 SGH07 SGH09;125;;;;;;;;;;;;;
SOLIDE;ZINC SULFATE HEPTAHYDRATÉ;SULFATE DE ZINC HEPTAHYDRATÉ – ZNSO₄·7H₂O;1200;g;5 LP;SGH05 SGH07 SGH09;1200;;;;;;;;;;;;;
SOLIDE;ZINC SULFATE HEPTAHYDRATÉ;SULFATE DE ZINC HEPTAHYDRATÉ – ZNSO₄·7H₂O;100;g;labo;SGH05 SGH07 SGH09;100;;;;;;;;;;;;;
SOLIDE;ZINC SULFATE HEPTAHYDRATÉ;SULFATE DE ZINC HEPTAHYDRATÉ – ZNSO₄·7H₂O;1000;g;6;SGH05 SGH07 SGH09;1000;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
